code,name,price,open,change_pct,volume,market_cap,market
6207,雷科,51.0,50.8,0.59,761799,4063680000,OTC
6208,日揚,44.8,45.2,-0.44,89725,4231912939,OTC
6210,慶生,20.35,20.35,0.0,23000,713226813,OTC
6212,理銘,36.15,36.15,-3.08,1825,3687300155,OTC
6217,中探針,64.1,64.5,0.16,9826459,7308490743,OTC
6218,豪勉,23.5,24.15,-2.89,337014,1510157000,OTC
6219,富旺,15.15,15.15,0.33,519088,1893251350,OTC
6220,岳豐,30.0,30.15,2.21,925140,4393890000,OTC
6221,晉泰,28.65,29.15,-0.52,246044,4830138016,OTC
6222,上揚,19.05,18.65,-0.26,62000,1344718091,OTC
6223,旺矽,2790.0,2805.0,0.18,764516,264857869440,OTC
6227,茂綸,84.8,86.1,1.07,346194,6454279769,OTC
6228,全譜,25.05,26.05,-3.84,17000,651298752,OTC
6229,研通,22.1,22.5,0.23,100007,891971485,OTC
6231,系微,188.0,189.0,-0.53,261214,8582610216,OTC
6233,旺玖,23.7,23.9,-0.42,259003,1872819019,OTC
6234,高僑,25.75,25.1,0.39,383029,2584949800,OTC
6236,中湛,23.4,23.4,-10.0,4000,974703584,OTC
6237,驊訊,37.85,38.25,-1.05,162164,3014563128,OTC
6240,松崗,18.6,18.65,1.64,33014,425326208,OTC
6241,易通展,12.35,12.1,1.23,46000,601445018,OTC
6242,立康,38.3,38.2,0.52,8440,1218208075,OTC
6244,茂迪,25.5,24.25,5.15,19147455,9869571000,OTC
6245,立端,63.0,60.7,-3.96,2329192,9236304000,OTC
6246,臺龍,12.9,12.4,1.98,29005,488277885,OTC
6248,沛波,21.9,22.0,-0.45,257002,2189039646,OTC
6259,百徽,17.95,18.0,-0.28,94787,480449720,OTC
6261,久元,72.5,71.9,0.28,394102,9316105000,OTC
6263,普萊德,121.5,120.0,1.25,46000,7593871500,OTC
6264,富裔,7.01,7.0,0.14,34000,955848581,OTC
6265,方土昶,37.7,37.75,-1.82,4680032,4455084490,OTC
6266,泰詠,28.7,28.7,0.7,128843,4416104274,OTC
6270,倍微,25.1,25.0,0.4,397003,1810864627,OTC
6274,台燿,532.0,534.0,0.0,5484333,150388420000,OTC
6275,元山,53.0,52.0,4.54,1332314,4200621000,OTC
6276,安鈦克,35.3,35.3,-0.14,12401,778117883,OTC
6279,胡連,113.0,111.0,0.89,404313,13448808000,OTC
6284,佳邦,81.5,81.9,-0.49,640003,11953632791,OTC
6290,良維,185.5,184.0,2.2,9473067,29999431000,OTC
6291,沛亨,276.5,260.0,9.94,3955849,14378000000,OTC
6292,迅德,40.7,40.35,0.62,19000,1896649054,OTC
6294,智基,44.45,44.95,0.57,28420,1157806060,OTC
6411,晶焱,80.3,81.4,2.69,851066,7848902036,OTC
6417,韋僑,108.5,107.5,0.46,20000,4586729000,OTC
6418,詠昇,34.3,34.85,-2.0,193000,1184104573,OTC
